BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
RESTAURANT,KIPS RESTAURANT,2439 DURANT AVE,
JAPANESE FOOD & DRINKS,KINDA SAKE BAR,1941 UNIVERSITY Ave,
RESTAURANT,VIETNAM HOUSE,1986 SHATTUCK Ave,
RESTAURANT,"VIK'S CHAAT & MARKET, LLC",2390 FOURTH ST,
ARCHITECT,DONAHUE RICHARD S,1743 ALCATRAZ AVE,
HAIR SALON,GLAM COUTURE,3205 SACRAMENTO ST,
RESTAURANT,CHIPOTLE MEXICAN GRILL #697,2311 TELEGRAPH AVE,"""{\n  \""name\"": \""Chipotle Mexican Grill #697\"",\n  \""address\"": \""2311 Telegraph Ave, Berkeley, CA 94704\"",\n  \""phone\"": \""(510) 647-2905\"",\n  \""website\"": \""https://www.chipotle.com/locations/ca/berkeley/2311-te-4162/\"",\n  \""hours\"": {\n    \""mon_sun\"": \""10:45 AM - 10:00 PM\""\n  },\n  \""established\"": \""1993\"",\n  \""type\"": \""Fast Casual, Mexican Grill\"",\n  \""menu_highlights\"": [\n    \""Burrito\"",\n    \""Burrito Bowl\"",\n    \""Tacos\"",\n    \""Salad\"",\n    \""Guacamole\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Students, professionals, families\"",\n    \""atmosphere\"": \""Casual, modern\"",\n    \""events\"": [\n      \""National Guac Day promotions\"",\n      \""Chipotle Rewards specials\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 3.5,\n    \""restaurantguru_rating\"": 3.6,\n    \""birdeye_rating\"": 4.2,\n    \""common_feedback\"": [\n      \""Long lines during peak hours\"",\n      \""Consistently fresh ingredients\"",\n      \""Limited seating\"",\n      \""Order accuracy varies\"",\n      \""Friendly staff\""\n    ],\n    \""sample_quotes\"": [\n      \""Great burritos but lines can get long.\"",\n      \""Love the guac, but wish seating was bigger.\"",\n      \""Staff was super friendly and efficient.\""\n    ]\n  },\n  \""parking\"": \""Street parking on Telegraph Ave; nearby paid lots\"",\n  \""payment\"": [\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\"",\n    \""Discover\"",\n    \""Apple Pay\"",\n    \""Google Pay\"",\n    \""Chipotle Rewards\""\n  ],\n  \""wifi\"": \""No\"",\n  \""delivery\"": \""Uber Eats, DoorDash, Grubhub, Chipotle App\"",\n  \""social_media\"": {\n    \""instagram\"": \""@chipotle\"",\n    \""latest_event_post\"": \""2024-02-08: National Guacamole Day promotion\""\n  }\n}"""
FOOD STREET VENDOR,SAHIN EMIRHAN,0 VARIOUS,"""{\n  \""name\"": \""SAHIN EMIRHAN 0 VARIOUS\"",\n  \""address\"": \""\"",\n  \""phone\"": \""\"",\n  \""website\"": \""\"",\n  \""hours\"": {\n    \""mon_sun\"": \""\""\n  },\n  \""established\"": null,\n  \""type\"": \""\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""\"",\n    \""atmosphere\"": \""\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""\"",\n  \""payment\"": [],\n  \""wifi\"": \""\"",\n  \""delivery\"": \""\"",\n  \""social_media\"": {\n    \""instagram\"": \""\"",\n    \""latest_event_post\"": \""\""\n  }\n}"""
ATTORNEY,HOFFMAN CAROL L,1510 WALNUT ST,
RESIDENTIAL CONSTRUCTION,BEN HARDY & COMPANY,0 VARIOUS,
