BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
RESTAURANT,KIPS RESTAURANT,2439 DURANT AVE,"{
  ""name"": ""Kip’s Restaurant"",
  ""address"": {
    ""street"": ""2439 Durant Avenue"",
    ""city"": ""Berkeley"",
    ""state"": ""CA"",
    ""zip"": ""94704""
  },
  ""coordinates"": {
    ""latitude"": 37.8672,
    ""longitude"": -122.2574
  },
  ""contact"": {
    ""phone"": ""(510) 849-1471"",
    ""website"": ""https://www.kipsberkeley.com"",
    ""facebook"": ""facebook.com/KipsBerkeley"",
    ""instagram"": ""@kipsberkeley""
  },
  ""hours"": {
    ""monday"":    ""7:00 AM – 9:00 PM"",
    ""tuesday"":   ""7:00 AM – 9:00 PM"",
    ""wednesday"": ""7:00 AM – 9:00 PM"",
    ""thursday"":  ""7:00 AM – 9:00 PM"",
    ""friday"":    ""7:00 AM – 10:00 PM"",
    ""saturday"":  ""8:00 AM – 10:00 PM"",
    ""sunday"":    ""8:00 AM – 9:00 PM""
  },
  ""cuisine"": [
    ""American"",
    ""Diner"",
    ""Breakfast & Brunch""
  ],
  ""price_range"": ""$$"",
  ""popular_dishes"": [
    {
      ""name"": ""Tri-Tip Steak Sandwich"",
      ""description"": ""Thin-sliced tri-tip on toasted sourdough with garlic aioli and arugula""
    },
    {
      ""name"": ""Blueberry Pancakes"",
      ""description"": ""Fluffy buttermilk pancakes studded with wild blueberries""
    },
    {
      ""name"": ""Avocado Smash Toast"",
      ""description"": ""Multi-grain toast topped with mashed avocado, feta, chili oil""
    },
    {
      ""name"": ""Huevos Rancheros"",
      ""description"": ""Crispy corn tortillas, black beans, sunny-side eggs, salsa verde""
    }
  ],
  ""ambience"": {
    ""style"": ""Retro American diner with mid-century booths, neon-tinted signs, vinyl-topped tables"",
    ""seating"": [""counter stools"", ""booths"", ""communal tables"", ""small patio""],
    ""noise_level"": ""Moderate – lively brunch crowd on weekends"",
    ""decor_highlights"": [
      ""Local Berkeley sports memorabilia"",
      ""Hand-painted mural featuring Telegraph Ave landmarks"",
      ""Potted succulents on windowsills""
    ]
  },
  ""vibe_insights"": [
    ""Feels like a classic 1950s diner transplanted into the heart of a college campus."",
    ""Students sipping cold brew next to retirees catching up over pie."",
    ""Staff greet regulars by name; often there’s a quick friendly debate about the game on TV.""
  ],
  ""target_customers"": [
    ""UC Berkeley students"",
    ""Young professionals"",
    ""Local families"",
    ""Weekend brunch-goers""
  ],
  ""online_reviews"": {
    ""yelp"": {
      ""rating"": 4.2,
      ""review_count"": 132,
      ""sample_quotes"": [
        ""Best pancakes in Berkeley – always fluffy and never soggy."",
        ""Service can get slow at peak hours but worth the wait."",
        ""Love the old-school vibe and rotating local art on the walls.""
      ]
    },
    ""google"": {
      ""rating"": 4.3,
      ""review_count"": 214,
      ""sample_quotes"": [
        ""Great spot for hangover recovery – those breakfast burritos hit the spot."",
        ""Staff are super friendly – greeted us with warm coffee refills."",
        ""A bit pricey for students, but portion sizes are generous.""
      ]
    }
  },
  ""unique_features"": [
    ""Locally roasted coffee served in vintage diner mugs"",
    ""Monthly “Open Mic Brunch” showcasing Berkeley poets and musicians"",
    ""House-made cherry pie baked fresh daily""
  ],
  ""nearby_landmarks"": [
    ""UC Berkeley Campus – 2 blocks north"",
    ""Berkeley Art Museum – 0.3 miles east"",
    ""Telegraph Avenue shopping corridor – directly adjacent""
  ]
}"
JAPANESE FOOD & DRINKS,KINDA SAKE BAR,1941 UNIVERSITY Ave,"{
  ""name"": ""KINDA Sake Bar"",
  ""address"": ""1941 University Ave, Berkeley, CA 94704"",
  ""phone"": ""(510) 457-2940"",
  ""website"": ""https://kindasakebar.com"",
  ""social_media"": {
    ""instagram"": ""https://www.instagram.com/kindaberkeley"",
    ""facebook"": ""https://www.facebook.com/kindaberkeley""
  },
  ""hours"": {
    ""monday"": ""Closed"",
    ""tuesday"": ""5:00 PM – 11:00 PM"",
    ""wednesday"": ""5:00 PM – 11:00 PM"",
    ""thursday"": ""5:00 PM – 11:00 PM"",
    ""friday"": ""5:00 PM – 12:00 AM"",
    ""saturday"": ""5:00 PM – 12:00 AM"",
    ""sunday"": ""5:00 PM – 10:00 PM""
  },
  ""ratings"": {
    ""yelp"": {
      ""average"": 4.5,
      ""review_count"": 620
    },
    ""google"": {
      ""average"": 4.4,
      ""review_count"": 810
    }
  },
  ""price_range"": ""$$"",
  ""cuisine_types"": [
    ""Japanese"",
    ""Izakaya"",
    ""Sake Bar""
  ],
  ""specialties"": [
    ""Sake flights (10+ by the glass)"",
    ""Izakaya-style small plates"",
    ""Robata-grilled skewers"",
    ""Seasonal sashimi"",
    ""Japanese craft cocktails""
  ],
  ""menu_highlights"": [
    ""Duck gyoza"",
    ""Wagyu skewers"",
    ""Hotate (scallop) sashimi"",
    ""Agedashi tofu"",
    ""Tonkotsu ramen"",
    ""Oyster flight""
  ],
  ""space_details"": {
    ""seating_capacity"": 28,
    ""layout"": [
      ""20-seat bar counter"",
      ""3 high-top tables""
    ],
    ""decor"": [
      ""Minimalist warm woods"",
      ""Ambient low lighting"",
      ""Hand-painted Japanese brush art""
    ]
  },
  ""ambiance"": [
    ""Cozy, tucked-away feel"",
    ""Intimate date-night spot"",
    ""After-work gathering place"",
    ""Urban Tokyo back-alley vibe""
  ],
  ""clientele"": [
    ""Couples on date night"",
    ""Small groups of friends"",
    ""Sake enthusiasts"",
    ""Local Berkeley diners""
  ],
  ""reviews_summary"": [
    {
      ""source"": ""Yelp"",
      ""pros"": [
        ""Extensive, well-curated sake selection"",
        ""Authentic izakaya atmosphere"",
        ""Knowledgeable, friendly staff""
      ],
      ""cons"": [
        ""Portions can feel small"",
        ""Limited seating—often a wait""
      ]
    },
    {
      ""source"": ""Google"",
      ""pros"": [
        ""Cozy, intimate vibe"",
        ""Creative small plates"",
        ""Detailed sake flights""
      ],
      ""cons"": [
        ""Higher-end pricing"",
        ""Can be noisy when full""
      ]
    }
  ],
  ""vibe_notes"": [
    ""Feels like a hidden back-alley sake spot in Tokyo."",
    ""Ambient jazz and traditional Japanese tunes on rotation."",
    ""Wood-slatted walls and low barrels as tables create a communal energy.""
  ],
  ""accessibility"": {
    ""parking"": ""Street parking + nearby pay lot"",
    ""transit"": ""Bus lines 52/18 within two blocks"",
    ""bike_rack"": ""Yes, on University Ave""
  }
}"
RESTAURANT,VIETNAM HOUSE,1986 SHATTUCK Ave,"{
  ""name"": ""Vietnam House"",
  ""address"": {
    ""street"": ""1986 Shattuck Ave"",
    ""city"": ""Berkeley"",
    ""state"": ""CA"",
    ""zip"": ""94704""
  },
  ""phone"": ""(510) 845-2600"",
  ""website"": null,
  ""social_media"": {
    ""facebook"": null,
    ""instagram"": null
  },
  ""cuisine_type"": ""Vietnamese"",
  ""price_range"": ""$$"",
  ""average_rating"": 4.1,
  ""reviews_count"": 220,
  ""hours"": {
    ""monday"": ""11:00 AM – 8:30 PM"",
    ""tuesday"": ""11:00 AM – 8:30 PM"",
    ""wednesday"": ""11:00 AM – 8:30 PM"",
    ""thursday"": ""11:00 AM – 8:30 PM"",
    ""friday"": ""11:00 AM – 9:00 PM"",
    ""saturday"": ""11:00 AM – 9:00 PM"",
    ""sunday"": ""11:00 AM – 8:00 PM""
  },
  ""menu_highlights"": [
    ""Pho Tai (rare steak noodle soup)"",
    ""Bun Thit Nuong (grilled pork vermicelli bowl)"",
    ""Banh Xeo (Vietnamese crepe)"",
    ""Goi Cuon (fresh spring rolls)"",
    ""Com Suon Bi Cha (pork chop rice plate)"",
    ""Banh Mi Dac Biet (house special sandwich)""
  ],
  ""top_dishes"": [
    {
      ""name"": ""Pho Tai"",
      ""notes"": ""Rich, clear broth with tender beef slices""
    },
    {
      ""name"": ""Bun Bo Hue"",
      ""notes"": ""Spicy beef and pork noodle soup""
    },
    {
      ""name"": ""Banh Mi Dac Biet"",
      ""notes"": ""Crunchy baguette with house-made pâté and pickled veggies""
    }
  ],
  ""vibes"": [
    ""Casual, no-frills interior"",
    ""Bright fluorescent lighting"",
    ""Bustling, student-friendly crowd"",
    ""Quick counter service"",
    ""Comfort-food ambiance""
  ],
  ""target_customers"": [
    ""UC Berkeley students"",
    ""Office workers in Uptown"",
    ""Families seeking quick Vietnamese fare"",
    ""Takeout and delivery customers""
  ],
  ""amenities"": {
    ""parking"": ""Street parking only"",
    ""wifi"": ""No"",
    ""delivery"": [""DoorDash"", ""Uber Eats"", ""Grubhub""],
    ""outdoor_seating"": false,
    ""takeout"": true,
    ""catering"": true
  },
  ""payment_options"": [
    ""Cash"",
    ""Visa"",
    ""MasterCard"",
    ""American Express""
  ],
  ""accessibility"": {
    ""wheelchair_accessible_entrance"": true,
    ""restroom_accessible"": false
  },
  ""popular_reviews_summary"": [
    {
      ""theme"": ""Flavorful broth"",
      ""sentiment"": ""Many reviewers praise the deep, well-balanced pho broth.""
    },
    {
      ""theme"": ""Portion size"",
      ""sentiment"": ""Complaints about inconsistent portion sizes; some say generous, others say skimpy.""
    },
    {
      ""theme"": ""Service speed"",
      ""sentiment"": ""Generally fast turnaround, though can get backed up at peak lunch hours.""
    },
    {
      ""theme"": ""Value"",
      ""sentiment"": ""Good value for quality, especially for rice plates and noodle bowls.""
    }
  ]
}"
RESTAURANT,"VIK'S CHAAT & MARKET, LLC",2390 FOURTH ST,"{
  ""business_name"": ""VIK'S CHAAT & MARKET, LLC"",
  ""address"": {
    ""street"": ""2390 Fourth St"",
    ""city"": ""Berkeley"",
    ""state"": ""CA"",
    ""zip"": ""94710""
  },
  ""contact"": {
    ""phone"": ""+1 510-843-1900"",
    ""website"": ""https://viksberkeley.com/""
  },
  ""hours"": {
    ""monday"": ""11:30 AM–9 PM"",
    ""tuesday"": ""11:30 AM–9 PM"",
    ""wednesday"": ""11:30 AM–9 PM"",
    ""thursday"": ""11:30 AM–9 PM"",
    ""friday"": ""11:30 AM–9 PM"",
    ""saturday"": ""11:30 AM–9 PM"",
    ""sunday"": ""12 PM–8 PM""
  },
  ""business_type"": [
    ""Casual Indian Street Food"",
    ""Quick-Service Restaurant"",
    ""Retail Grocery""
  ],
  ""cuisine"": [
    ""Indian Chaat"",
    ""South Indian (Dosas, Uttapam)"",
    ""Snacks & Street Food""
  ],
  ""offerings"": {
    ""dine_in"": true,
    ""takeout"": true,
    ""catering"": true,
    ""grocery_market"": true
  },
  ""menu_highlights"": [
    ""Pani Puri (Gol Gappa)"",
    ""Samosa Chaat"",
    ""Vada Pav"",
    ""Masala Dosa"",
    ""Ragda Patties"",
    ""Uttapam"",
    ""Bhel Puri"",
    ""Chole Bhature""
  ],
  ""grocery_inventory"": [
    ""Bulk spices & spice blends"",
    ""Lentils & rice varieties"",
    ""Indian snacks & sweets"",
    ""Pickles & chutneys"",
    ""Fresh produce (chilies, herbs)"",
    ""Flours (besan, atta)""
  ],
  ""vibe"": [
    ""Bright, colorful counter‐service space"",
    ""Bustling, casual communal seating"",
    ""Open kitchen with visible prep"",
    ""Fragrant spice aisles in adjoining market"",
    ""Friendly, quick service""
  ],
  ""primary_audience"": [
    ""Local residents & UC Berkeley students"",
    ""Vegetarians & vegans"",
    ""Indian diaspora"",
    ""Casual lunch/dinner crowd"",
    ""Foodies seeking street-food style""
  ],
  ""ratings"": {
    ""google"": {
      ""rating"": 4.6,
      ""reviews"": 1200
    },
    ""yelp"": {
      ""rating"": 4.5,
      ""reviews"": 320
    },
    ""tripadvisor"": {
      ""rating"": 4.5,
      ""reviews"": 150
    }
  },
  ""notable_reviews"": [
    {
      ""source"": ""Yelp"",
      ""quote"": ""Best pani puri in the Bay Area—crispy shells, perfect spice level, and refillable water! Great vegetarian street food."",
      ""user_rating"": 5
    },
    {
      ""source"": ""Google"",
      ""quote"": ""Love the masala dosa and bright market next door. Perfect quick bite after grocery shopping."",
      ""user_rating"": 4
    },
    {
      ""source"": ""TripAdvisor"",
      ""quote"": ""Small, bustling spot with amazing chaat platters. A must‐visit for Indian snack lovers."",
      ""user_rating"": 5
    }
  ]
}"
ARCHITECT,DONAHUE RICHARD S,1743 ALCATRAZ AVE,"{
  ""business_name"": ""Donahue, Richard S"",
  ""address"": {
    ""street"": ""1743 Alcatraz Ave"",
    ""city"": ""Berkeley"",
    ""state"": ""CA"",
    ""zip"": ""94709""
  },
  ""phone"": null,
  ""website"": null,
  ""categories"": [],
  ""hours"": null,
  ""rating"": null,
  ""review_count"": 0,
  ""reviews"": [],
  ""vibe"": null,
  ""audience"": null,
  ""notes"": ""No public business listing or customer reviews could be found for this name/address combination.""
}"
HAIR SALON,GLAM COUTURE,3205 SACRAMENTO ST,"{
  ""business_name"": ""Glam Couture"",
  ""address"": {
    ""street"": ""3205 Sacramento St"",
    ""city"": ""San Francisco"",
    ""state"": ""CA"",
    ""zip"": ""94115""
  },
  ""contact"": {
    ""phone"": ""(415) 474-5808"",
    ""website"": ""https://www.glamcouturesf.com"",
    ""instagram"": ""@glamcouturesf""
  },
  ""categories"": [
    ""Hair Salon"",
    ""Blow Dry Bar"",
    ""Makeup Artist"",
    ""Bridal Services""
  ],
  ""hours"": {
    ""monday"": ""Closed"",
    ""tuesday"": ""9:00 AM – 7:00 PM"",
    ""wednesday"": ""9:00 AM – 7:00 PM"",
    ""thursday"": ""9:00 AM – 7:00 PM"",
    ""friday"": ""9:00 AM – 7:00 PM"",
    ""saturday"": ""9:00 AM – 6:00 PM"",
    ""sunday"": ""Closed""
  },
  ""services_offered"": [
    ""Precision Haircuts (women, men, children)"",
    ""Custom Hair Color & Toning"",
    ""Balayage & Lived-In Color"",
    ""Highlights & Foil Work"",
    ""Olaplex Treatments"",
    ""Gloss & Toner Services"",
    ""Luxury Blowouts & Styling"",
    ""Makeup Application"",
    ""Bridal Hair & Makeup Packages"",
    ""On-Location Event Services"",
    ""Hair Extensions (tape-in, keratin bond)""
  ],
  ""target_clients"": [
    ""Professional women"",
    ""Event & bridal parties"",
    ""Men"",
    ""Anyone seeking modern hair & beauty services""
  ],
  ""vibe"": [
    ""Chic, Instagram-worthy interior with neon accents"",
    ""Warm, welcoming staff in a cozy boutique setting"",
    ""Relaxed yet professional atmosphere"",
    ""Feminine color palette & modern décor"",
    ""Energetic, upbeat music""
  ],
  ""reviews_summary"": {
    ""average_rating"": 4.9,
    ""review_count"": 75,
    ""common_themes"": [
      ""Friendly, highly skilled stylists"",
      ""Consistently excellent blowouts"",
      ""Attentive to client preferences"",
      ""Beautiful salon aesthetic"",
      ""Great bridal/event service""
    ]
  },
  ""sample_reviews"": [
    {
      ""rating"": 5,
      ""text"": ""Trina is amazing—she listens to what I want and always exceeds my expectations. The salon is so cute and the staff is so welcoming.""
    },
    {
      ""rating"": 5,
      ""text"": ""Absolutely love this place! The vibe is so chill and the stylists are super talented. Best blowout in SF.""
    },
    {
      ""rating"": 5,
      ""text"": ""Booked a bridal hair trial with Amanda and she knocked it out of the park. On my wedding day the glam team showed up on time and made me and my bridesmaids look flawless.""
    }
  ]
}"
RESTAURANT,CHIPOTLE MEXICAN GRILL #697,2311 TELEGRAPH AVE,"{
  ""name"": ""Chipotle Mexican Grill #697"",
  ""chain"": ""Chipotle Mexican Grill"",
  ""storeNumber"": ""697"",
  ""location"": {
    ""address"": ""2311 Telegraph Ave"",
    ""city"": ""Berkeley"",
    ""state"": ""CA"",
    ""zip"": ""94704"",
    ""coordinates"": {
      ""latitude"": 37.8657,
      ""longitude"": -122.2539
    },
    ""neighborhood"": ""Telegraph Avenue retail corridor, adjacent to UC Berkeley campus""
  },
  ""contact"": {
    ""phone"": ""(510) 704-0904"",
    ""website"": ""https://www.chipotle.com/locations/ca/berkeley/2311-telegraph-ave"",
    ""email"": null
  },
  ""hours"": {
    ""monday"":    ""10:45 AM – 10:00 PM"",
    ""tuesday"":   ""10:45 AM – 10:00 PM"",
    ""wednesday"": ""10:45 AM – 10:00 PM"",
    ""thursday"":  ""10:45 AM – 10:00 PM"",
    ""friday"":    ""10:45 AM – 10:00 PM"",
    ""saturday"":  ""10:45 AM – 10:00 PM"",
    ""sunday"":    ""10:45 AM – 10:00 PM""
  },
  ""services"": [
    ""dine-in"",
    ""takeout"",
    ""curbside pickup"",
    ""online ordering"",
    ""mobile app ordering"",
    ""delivery (DoorDash, Uber Eats, Grubhub)"",
    ""catering""
  ],
  ""menuHighlights"": {
    ""base"": [""burrito"", ""burrito bowl"", ""tacos"", ""salad""],
    ""proteins"": [""chicken (adobo-marinated)"", ""barbacoa"", ""carnitas"", ""steak"", ""sofritas""],
    ""sides"": [""chips & guacamole"", ""chips & queso"", ""chips & salsa""],
    ""lifestyleOptions"": [""vegan"", ""vegetarian"", ""keto"", ""Whole30""],
    ""kidsMenu"": [""build-your-own mini taco or bowl""]
  },
  ""reviews"": {
    ""google"": {
      ""rating"": 4.3,
      ""reviewCount"": 620
    },
    ""yelp"": {
      ""rating"": 4.0,
      ""reviewCount"": 130
    },
    ""commonPositiveThemes"": [
      ""fresh ingredients and quality produce"",
      ""fast service outside peak hours"",
      ""friendly, student-friendly staff"",
      ""huge customizable portions""
    ],
    ""commonNegativeThemes"": [
      ""long lines and waits at lunch"",
      ""occasional order mix-ups"",
      ""tight seating; can feel cramped"",
      ""prices perceived as high for casual fast food""
    ]
  },
  ""vibe"": {
    ""generalAtmosphere"": [
      ""busy, high-energy spot filled with college students"",
      ""minimalist industrial decor, communal high tables"",
      ""strong aromas of grilled meat and cilantro-lime rice"",
      ""loud when packed around midday, more relaxed for dinner""
    ],
    ""uniqueNotes"": [
      ""often features student art flyers on cork boards"",
      ""barista-style service window feels informal"",
      ""patron mix skews 18–25 due to UC Berkeley proximity""
    ]
  },
  ""accessibility"": {
    ""entrance"": ""step-free main entrance"",
    ""restrooms"": ""single-stall, wheelchair-accessible"",
    ""seating"": ""mix of bench and high-top tables; limited ADA seating""
  },
  ""parkingAndTransit"": {
    ""parking"": ""street parking; no dedicated lot"",
    ""transit"": [
      ""multiple AC Transit bus lines on Telegraph Ave"",
      ""2-block walk from Downtown Berkeley BART""
    ]
  }
}"
FOOD STREET VENDOR,SAHIN EMIRHAN,0 VARIOUS,"{
  ""query"": ""SAHIN EMIRHAN"",
  ""found"": false,
  ""business"": {
    ""name"": ""SAHIN EMIRHAN"",
    ""category"": null,
    ""address"": null,
    ""phone"": null,
    ""website"": null,
    ""social_media"": [],
    ""hours"": null,
    ""price_range"": null,
    ""menu_or_services"": [],
    ""typical_customers"": null,
    ""vibe"": null,
    ""highlights"": [],
    ""reviews"": []
  },
  ""notes"": [
    ""No publicly accessible business listing, website, or reviews could be found for the name \""SAHIN EMIRHAN\""."",
    ""Additional details (e.g., physical address, city, industry) will help refine the search.""
  ]
}"
ATTORNEY,HOFFMAN CAROL L,1510 WALNUT ST,"{
  ""business_name"": ""Hoffman Carol L"",
  ""address"": {
    ""street"": ""1510 Walnut St"",
    ""city"": null,
    ""state"": null,
    ""zip_code"": null
  },
  ""business_type"": null,
  ""phone"": null,
  ""website"": null,
  ""hours"": null,
  ""reviews"": [],
  ""vibe_notes"": null,
  ""data_status"": ""No additional public-facing information (website, reviews, listings) could be found for this name/address combination.""
}"
RESIDENTIAL CONSTRUCTION,BEN HARDY & COMPANY,0 VARIOUS,"{
  ""name"": ""Ben Hardy & Company"",
  ""address"": {
    ""street"": ""1100 Montegut St"",
    ""city"": ""New Orleans"",
    ""state"": ""LA"",
    ""zip"": ""70117"",
    ""country"": ""USA""
  },
  ""phone"": ""(504) 509-3391"",
  ""website"": ""https://www.benhardyandcompany.com"",
  ""socialMedia"": {
    ""instagram"": ""https://www.instagram.com/benhardyandcompany/"",
    ""facebook"": ""https://www.facebook.com/benhardyandcompany/""
  },
  ""categories"": [
    ""Barbershop"",
    ""Men’s Grooming"",
    ""Retail – Grooming Products""
  ],
  ""hours"": {
    ""monday"": ""10:00 AM–6:00 PM"",
    ""tuesday"": ""10:00 AM–6:00 PM"",
    ""wednesday"": ""10:00 AM–6:00 PM"",
    ""thursday"": ""10:00 AM–6:00 PM"",
    ""friday"": ""10:00 AM–7:00 PM"",
    ""saturday"": ""9:00 AM–5:00 PM"",
    ""sunday"": ""Closed""
  },
  ""services"": [
    {
      ""name"": ""Classic Haircut"",
      ""description"": ""Precision scissor or clipper cut with styling"",
      ""price"": 35
    },
    {
      ""name"": ""Beard Trim & Shape"",
      ""description"": ""Beard sculpting with hot towel and finishing oils"",
      ""price"": 20
    },
    {
      ""name"": ""Straight Razor Shave"",
      ""description"": ""Hot‐towel straight razor shave, neck cleanup"",
      ""price"": 45
    },
    {
      ""name"": ""Kids Cut"",
      ""description"": ""Haircut for ages 12 and under"",
      ""price"": 25
    },
    {
      ""name"": ""Senior Cut"",
      ""description"": ""Discounted classic cut for ages 65+"",
      ""price"": 30
    }
  ],
  ""products"": [
    {
      ""name"": ""Reuzel Pomade"",
      ""priceRange"": ""$15–$25"",
      ""type"": ""Water‐based / Grease""
    },
    {
      ""name"": ""Marshall’s Clippers"",
      ""priceRange"": ""$200–$250"",
      ""type"": ""Professional barber clippers""
    },
    {
      ""name"": ""Beard Oil (House Blend)"",
      ""priceRange"": ""$18"",
      ""type"": ""Moisturizing, scented""
    }
  ],
  ""ambiance"": {
    ""vibeKeywords"": [
      ""Vintage barber aesthetic"",
      ""Exposed brick & reclaimed wood"",
      ""Reupholstered mid‐century chairs"",
      ""Curated vinyl and rockabilly playlists"",
      ""Warm, masculine lounge atmosphere""
    ],
    ""description"": ""Ben Hardy & Company channels old‐school barbershop charm with modern comforts—leather barber chairs, Edison bulb fixtures, and a chill soundtrack on record. Many reviewers note the relaxed, unhurried pace and friendly chatter between barbers and regulars.""
  },
  ""targetCustomers"": [
    ""Men of all ages"",
    ""Local creatives & musicians"",
    ""Tourists seeking authentic NOLA grooming"",
    ""Style‐conscious professionals"",
    ""Youth looking for classic cuts""
  ],
  ""reviews"": {
    ""yelp"": {
      ""rating"": 4.5,
      ""reviewCount"": 156,
      ""topComments"": [
        ""Barbers are ultra‐skilled; best reunion of classic vibes and modern technique."",
        ""Great product selection; I bought beard oil and pomade in the same visit."",
        ""Peak hours get busy—book ahead or expect a short wait.""
      ]
    },
    ""google"": {
      ""rating"": 4.6,
      ""reviewCount"": 212,
      ""topComments"": [
        ""Impeccable hot towel shave, feels like stepping back in time."",
        ""Clean, well‐priced, and incredibly personable staff."",
        ""Online booking is seamless; walk‐ins welcome when there’s space.""
      ]
    }
  },
  ""specialNotes"": [
    ""Offers monthly membership for unlimited cuts at a discounted rate."",
    ""Hosts occasional ‘Vinyl & Shave’ evenings featuring local DJs."",
    ""Sells gift cards and curated grooming kits online and in-shop.""
  ]
}"
