APN,RecordID,BusDesc,B1_PER_SUB_TYPE,DBA,NAICS,Tax_Code,Employee_Num,Bus_Own_Type,B1_BUSINESS_NAME,B1_ADDRESS1,B1_ADDRESS2,B1_CITY,B1_STATE,B1_ZIP,B1_CONTACT_TYPE,B1_FULL_ADDRESS,B1_SITUS_CITY,B1_SITUS_STATE,B1_SITUS_ZIP,Business_Location
055 187800400,BL-032324,RESTAURANT,Retail Trade,KIPS RESTAURANT,722110,R,14,Corporation,KIPS RESTAURANT,2439 DURANT AVE,,BERKELEY,CA,947041610,Business Owner,2439 DURANT AVE,BERKELEY,CA,94704,
057 205900600,BL-018844,JAPANESE FOOD & DRINKS,Retail Trade,KINDA SAKE BAR,722513 - Limited-Service Restaurants,R,16,Corporation,KINDA SAKE BAR,916 KEARNEY ST,,EL CERRITO,CA,94530-2811,Business Owner,1941 UNIVERSITY Ave,BERKELEY,CA,94704,
057 205300302,BL-021115,RESTAURANT,Retail Trade,VIETNAM HOUSE,722513 - Limited-Service Restaurants,R,2,LLC,VIETNAM HOUSE,2247 CENTRAL AVE,,ALAMEDA,CA,94501-4410,Business Owner,1986 SHATTUCK Ave,BERKELEY,CA,94708,
056 194600604,BL-048399,RESTAURANT,Retail Trade,"VIK'S CHAAT & MARKET, LLC",722211,R,26,LLC,"VIK'S CHAAT & MARKET, LLC",2390 4TH ST STE B,,BERKELEY,CA,94710-2402,Business Owner,2390 FOURTH ST,BERKELEY,CA,94710,
052 153100900,BL-054096,ARCHITECT,Professional SemiProfessional,DONAHUE RICHARD S,541310 - Architectural Services,P,1,Sole Ownership,DONAHUE RICHARD S,1743 ALCATRAZ AVE,,BERKELEY,CA,94703,Business Owner,1743 ALCATRAZ AVE,BERKELEY,CA,94703,
052 153601600,BL-046240,HAIR SALON,Business Personal Repair Svs,GLAM COUTURE,812112 - Beauty Salons,B,1,Sole Ownership,GLAM COUTURE,2433 ROOSEVELT AVE,,BERKELEY,CA,94703-1929,Business Owner,3205 SACRAMENTO ST,BERKELEY,CA,94702,
055 187701300,BL-044072,RESTAURANT,Retail Trade,CHIPOTLE MEXICAN GRILL #697,722211,R,48,Corporation,CHIPOTLE MEXICAN GRILL #697,PO BOX 182566,,COLUMBUS,OH,43218-2566,Business Owner,2311 TELEGRAPH AVE,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021507,FOOD STREET VENDOR,Retail Trade,SAHIN EMIRHAN,454390 - Other Direct Selling Establishments,R,0,Sole Ownership,SAHIN EMIRHAN,2242 MAGNOLIA ST # 2244D,,OAKLAND,CA,94607-2341,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
059 226000201,BL-052373,ATTORNEY,Professional SemiProfessional,HOFFMAN CAROL L,541110 - Offices of Lawyers,P,1,Sole Ownership,HOFFMAN CAROL L,1510 WALNUT ST E,,BERKELEY,CA,94709,Business Owner,1510 WALNUT ST,BERKELEY,CA,94709,
ZZZZZZZZZZZZZ,BL-017452,RESIDENTIAL CONSTRUCTION,Construction or Contractor,BEN HARDY & COMPANY,236118 - Residential Remodelers,C,4,Corporation,BEN HARDY & COMPANY,1242 KAINS AVE,,ALBANY,CA,94706-2212,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
